Utilizacion 82.000000 VolCajasEmpacado 98.400000 Duracion[s] 60.000000 Iteraciones 45224
0 3 0 0 0 0 3 5 3
1 3 0 0 5 0 3 10 3
2 1 0 0 0 3 2 3 6
3 1 0 0 3 3 2 6 6
4 1 0 0 6 3 2 9 6
5 0 0 0 0 6 2 5 8
6 0 0 0 0 8 2 5 10
7 2 0 0 5 6 2 9 8
8 0 0 0 5 8 2 10 10
9 0 0 2 0 3 4 5 5
10 0 0 2 0 5 4 5 7
11 0 0 2 0 7 4 5 9
12 0 0 2 5 3 4 10 5
13 0 0 2 5 5 4 10 7
14 0 0 2 5 7 4 10 9
15 6 1 4 0 0 8 2 2
16 4 1 4 0 2 9 2 4
17 4 1 4 0 4 9 2 6
18 4 1 4 0 6 9 2 8
19 4 1 4 0 8 9 2 10
20 7 1 4 2 0 7 7 3
21 7 1 4 2 3 7 7 6
22 7 1 4 2 6 7 7 9
23 5 1 4 7 0 7 9 3
24 7 1 4 7 3 9 10 6
25 7 1 4 7 6 9 10 9
26 4 1 7 2 0 9 7 2
27 4 1 7 2 2 9 7 4
28 4 1 7 2 4 9 7 6
29 4 1 7 2 6 9 7 8
30 4 1 7 2 8 9 7 10
31 10 2 9 0 0 12 5 3
32 8 2 9 5 0 11 10 2
33 8 2 9 5 2 11 10 4
34 8 2 9 0 3 11 5 5
35 8 2 9 0 5 11 5 7
36 8 2 9 0 7 11 5 9
37 8 2 9 5 4 11 10 6
38 8 2 9 5 6 11 10 8
39 8 2 9 5 8 11 10 10
