Utilizacion 83.333333 VolCajasEmpacado 100.000000 Duracion[s] 0.863000 Iteraciones 431
0 1 0 0 0 0 2 4 2
1 1 0 0 0 2 2 4 4
2 1 0 0 0 4 2 4 6
3 0 0 0 4 0 2 7 4
4 0 0 0 7 0 2 10 4
5 2 0 0 0 6 2 2 8
6 0 0 0 4 4 2 7 8
7 0 0 0 7 4 2 10 8
8 2 0 0 0 8 2 2 10
9 2 0 0 2 6 2 4 8
10 0 0 2 0 0 4 3 4
11 0 0 2 3 0 4 6 4
12 2 0 2 0 4 4 2 6
13 2 0 2 0 6 4 2 8
14 2 0 2 0 8 4 2 10
15 2 0 2 2 4 4 4 6
16 2 0 2 4 4 4 6 6
17 2 0 2 2 6 4 4 8
18 2 0 2 4 6 4 6 8
19 2 0 2 2 8 4 4 10
20 2 0 2 4 8 4 6 10
21 2 0 0 2 8 2 4 10
22 2 0 0 4 8 2 6 10
23 2 0 0 6 8 2 8 10
24 2 0 0 8 8 2 10 10
25 2 0 2 6 0 4 8 2
26 2 0 2 8 0 4 10 2
27 2 0 2 6 2 4 8 4
28 2 0 2 6 4 4 8 6
29 2 0 2 6 6 4 8 8
30 2 0 2 6 8 4 8 10
31 3 1 4 0 0 6 3 4
32 3 1 4 3 0 6 6 4
33 3 1 4 6 0 6 9 4
34 5 1 4 0 4 6 2 6
35 5 1 4 0 6 6 2 8
36 5 1 4 0 8 6 2 10
37 5 1 4 2 4 6 4 6
38 5 1 4 4 4 6 6 6
39 5 1 4 6 4 6 8 6
40 5 1 4 8 4 6 10 6
41 3 1 4 2 6 6 5 10
42 3 1 4 5 6 6 8 10
43 4 1 4 8 6 8 10 8
44 4 1 4 8 8 8 10 10
45 5 1 6 0 0 8 2 2
46 5 1 6 2 0 8 4 2
47 5 1 6 4 0 8 6 2
48 5 1 6 6 0 8 8 2
49 4 1 6 0 2 8 4 4
50 4 1 6 0 4 8 4 6
51 5 1 6 0 6 8 2 8
52 5 1 6 2 6 8 4 8
53 5 1 6 0 8 8 2 10
54 5 1 6 2 8 8 4 10
55 5 1 6 4 2 8 6 4
56 5 1 6 6 2 8 8 4
57 5 1 6 4 4 8 6 6
58 5 1 6 6 4 8 8 6
59 5 1 6 4 6 8 6 8
60 5 1 6 6 6 8 8 8
61 5 1 6 4 8 8 6 10
62 5 1 6 6 8 8 8 10
63 8 2 8 0 0 10 2 2
64 8 2 8 2 0 10 4 2
65 8 2 8 4 0 10 6 2
66 8 2 8 6 0 10 8 2
67 8 2 8 8 0 10 10 2
68 8 2 8 0 2 10 2 4
69 8 2 8 2 2 10 4 4
70 8 2 8 4 2 10 6 4
71 8 2 8 6 2 10 8 4
72 8 2 8 8 2 10 10 4
73 8 2 8 0 4 10 2 6
74 8 2 8 2 4 10 4 6
75 8 2 8 4 4 10 6 6
76 8 2 8 6 4 10 8 6
77 8 2 8 8 4 10 10 6
78 8 2 8 0 6 10 2 8
79 8 2 8 2 6 10 4 8
80 8 2 8 4 6 10 6 8
81 8 2 8 6 6 10 8 8
82 8 2 8 8 6 10 10 8
83 7 2 8 0 8 12 2 10
84 8 2 8 2 8 10 4 10
85 8 2 8 4 8 10 6 10
86 6 2 10 2 0 12 5 4
87 6 2 10 2 4 12 5 8
88 6 2 10 5 0 12 8 4
