Utilizacion 66.666667 VolCajasEmpacado 100.000000 Duracion[s] 0.024000 Iteraciones 8
0 1 0 0 0 0 2 2 3
1 1 0 0 2 0 2 4 3
2 1 0 0 4 0 2 6 3
3 1 0 0 6 0 2 8 3
4 1 0 0 8 0 2 10 3
5 2 0 0 0 3 2 2 5
6 2 0 0 2 3 2 4 5
7 2 0 0 4 3 2 6 5
8 2 0 0 6 3 2 8 5
9 2 0 0 8 3 2 10 5
10 2 0 0 0 5 2 2 7
11 2 0 0 2 5 2 4 7
12 2 0 0 4 5 2 6 7
13 2 0 0 6 5 2 8 7
14 2 0 0 8 5 2 10 7
15 2 0 0 0 7 2 2 9
16 2 0 0 2 7 2 4 9
17 2 0 0 4 7 2 6 9
18 2 0 0 6 7 2 8 9
19 2 0 0 8 7 2 10 9
20 0 0 2 0 0 4 2 4
21 0 0 2 0 4 4 2 8
22 2 0 2 0 8 4 2 10
23 3 0 2 2 0 4 4 6
24 1 0 2 2 6 4 4 9
25 0 0 2 4 0 4 6 4
26 0 0 2 6 0 4 8 4
27 0 0 2 8 0 4 10 4
28 2 0 2 4 4 4 6 6
29 2 0 2 6 4 4 8 6
30 2 0 2 8 4 4 10 6
31 2 0 2 4 6 4 6 8
32 2 0 2 4 8 4 6 10
33 1 0 2 6 6 4 8 9
34 4 1 4 0 0 6 2 4
35 4 1 4 2 0 6 4 4
36 4 1 4 4 0 6 6 4
37 4 1 4 6 0 6 8 4
38 4 1 4 8 0 6 10 4
39 6 1 4 0 4 6 2 6
40 6 1 4 2 4 6 4 6
41 6 1 4 4 4 6 6 6
42 6 1 4 6 4 6 8 6
43 6 1 4 8 4 6 10 6
44 6 1 4 0 6 6 2 8
45 6 1 4 2 6 6 4 8
46 6 1 4 4 6 6 6 8
47 6 1 4 6 6 6 8 8
48 6 1 4 8 6 6 10 8
49 6 1 4 0 8 6 2 10
50 6 1 4 2 8 6 4 10
51 6 1 4 4 8 6 6 10
52 6 1 4 6 8 6 8 10
53 6 1 4 8 8 6 10 10
54 6 1 6 0 0 8 2 2
55 6 1 6 2 0 8 4 2
56 6 1 6 4 0 8 6 2
57 6 1 6 6 0 8 8 2
58 6 1 6 8 0 8 10 2
59 6 1 6 0 2 8 2 4
60 6 1 6 2 2 8 4 4
61 6 1 6 4 2 8 6 4
62 6 1 6 6 2 8 8 4
63 6 1 6 8 2 8 10 4
64 5 1 6 0 4 8 2 7
65 5 1 6 0 7 8 2 10
66 6 1 6 2 4 8 4 6
67 6 1 6 2 6 8 4 8
68 6 1 6 2 8 8 4 10
69 5 1 6 4 4 8 6 7
70 5 1 6 4 7 8 6 10
71 5 1 6 6 4 8 8 7
72 7 2 8 0 0 10 2 4
73 7 2 8 2 0 10 4 4
74 7 2 8 4 0 10 6 4
75 7 2 8 6 0 10 8 4
76 7 2 8 8 0 10 10 4
77 9 2 8 0 4 10 2 6
78 9 2 8 2 4 10 4 6
79 9 2 8 4 4 10 6 6
80 9 2 8 6 4 10 8 6
81 9 2 8 8 4 10 10 6
82 9 2 8 0 6 10 2 8
83 9 2 8 2 6 10 4 8
84 9 2 8 4 6 10 6 8
85 9 2 8 6 6 10 8 8
86 9 2 8 8 6 10 10 8
87 9 2 8 0 8 10 2 10
88 9 2 8 2 8 10 4 10
89 9 2 8 4 8 10 6 10
90 9 2 8 6 8 10 8 10
91 9 2 8 8 8 10 10 10
92 8 2 10 0 0 12 2 3
93 8 2 10 2 0 12 4 3
94 8 2 10 4 0 12 6 3
95 8 2 10 6 0 12 8 3
96 9 2 10 0 3 12 2 5
97 9 2 10 2 3 12 4 5
98 7 2 10 0 5 12 2 9
